code_commune,p22_log,p22_rp
75101,738.983338429727,531.544448545922
75101,228.689855386841,98.9471916875552
75101,208.841732965263,168.958559993096
75101,0.0,0.0
75101,0.0,0.0
75101,0.0,0.0
75101,1934.45590574901,1406.71340961908
75101,1469.9679638721,1022.03007641687
75101,2218.65056059875,1472.63854412261
75101,1505.62986575852,1086.87301934571
75101,0.0,0.0
75101,514.404612143893,371.666613661597
75101,2347.59202658615,1509.54847954193
75101,161.712631896861,93.0709756503135
75101,216.323251461398,157.949325354043
75101,1089.97951090298,653.651822784062
75101,1236.47671914935,742.715525338561
75102,771.924527396255,486.302516595652
75102,316.992534461246,164.92200794604
75102,99.9243415686137,64.712844841409
75102,1184.01636687906,797.266652778411
75102,1242.0161836502,788.34117202413
75102,1566.52230776412,1086.66022188583
75102,1554.5229550655,1118.19169487359
75102,1611.023937749,1166.06036810148
75102,423.180356305245,344.026972037906
75102,1793.52265744235,1103.69381688712
75102,1588.52321915098,1131.05587866294
75102,1643.02448665702,1192.79888419523
75102,1745.02578724141,1256.15320814941
75102,1792.0283726643,1382.09483977833
75103,1374.00824399714,1067.32679583365
75103,1572.50869145084,1125.25735064447
75103,1399.50799202711,1034.70495424726
75103,1624.00840636376,1088.34793911269
75103,1271.50714518664,925.066935208596
75103,1532.0092216933,1193.90632895658
75103,1506.5083472757,1080.69797627388
75103,2102.01201022816,1554.92998429678
75103,1542.00849782469,1100.18912511854
75103,1568.00987470171,1278.44946522666
75103,1302.00800298363,1036.12346481576
75103,1307.00718416487,930.113334531246
75103,2159.01188132188,1538.2408552904
75103,1640.50894810959,1158.48622636236
75103,1484.50880471793,1139.92171674945
75103,1441.0084784923,1097.68621550333
75103,1580.50896782001,1161.03807911654
75104,1311.98696796054,957.952278869578
75104,1898.48283419299,1261.81508223906
75104,1323.48717174746,942.972417776918
75104,199.156380312761,151.893592197645
75104,0.0,0.0
75104,0.0,0.0
75104,2375.97799674086,1617.40396044613
75104,1895.48269381568,1272.13386347389
75104,2242.47887466758,1552.86978717557
75104,1622.48469038294,1125.3712511272
75104,0.0,0.0
75104,2195.36989996562,1874.48679245421
75104,1482.98526628713,1083.03798977559
75104,1396.48553657387,1063.16989494901
75104,1793.98335631216,1223.43542185037
75104,0.0,0.0
75104,0.0,0.0
75104,2586.47937822472,1515.85457411035
75104,655.995019710613,366.088483956408
75104,49.8410108872557,39.8727002236902
75104,0.0,0.0
75105,1643.01012463303,1276.79316738859
75105,1228.00784124835,988.841006273785
75105,1719.01116824851,1408.40100953462
75105,2282.51403393401,1769.78572961668
75105,1655.50998762629,1259.51557561798
75105,95.9363192049635,26.8828023938395
75105,0.0,0.0
75105,1271.00780553804,984.337665092678
75105,1611.01021641625,1288.36772814916
75105,1526.50965182594,1217.16860016436
75105,1515.50939719972,1185.05829863486
75105,2051.0139022968,1753.18527619178
75105,1404.00928829505,1171.32459200146
75105,1503.00930875718,1173.90502183298
75105,1131.0070977909,895.085371945484
75105,0.0,0.0
75105,0.0,0.0
75105,2074.01290800997,1627.79815172752
75105,1196.00741487607,935.072221329044
75105,1701.51063753212,1341.47364072066
75105,855.505322697748,671.232635882431
75105,1490.50932383689,1175.80668892968
75105,1488.0089060227,1123.11714342509
75105,1315.50834186114,1051.97208350912
75105,2293.5146990395,1853.66058574253
75105,1831.51145286571,1444.2934015863
75105,1088.0070221976,885.552482130153
75105,1552.00865512879,1091.4775156937
75105,2235.01335002079,1683.53907516006
75105,124.064721688902,104.381824277242
75105,0.0,0.0
75106,1554.52367926769,1064.15981268984
75106,2027.07424331659,1353.66564537745
75106,2063.27942287486,1156.35562202198
75106,0.0,0.0
75106,972.755926224125,807.784516786654
75106,1015.24477434758,715.161951663832
75106,2068.10569244532,1328.26141388038
75106,1922.67285998389,1250.81417830431
75106,0.0,0.0
75106,1199.48779203622,759.127542177097
75106,1131.37925096157,833.176052749673
75106,1364.54949281375,983.640841277275
75106,1082.84171809999,821.289363661324
75106,1560.20032879461,1267.27286744819
75106,1705.32543217395,1273.49712428397
75106,1289.49990320648,1057.98507610084
75106,2178.18574517289,1592.78486204283
75106,1781.3396728061,1415.17183241213
75106,1410.59659706833,1083.51018989256
75106,1132.8653181735,877.301748785554
75106,1721.33702225833,1177.03768959492
75106,2462.41224800752,1633.90865603716
75106,0.0,0.0
75107,1459.50397949049,928.438669044193
75107,1140.5030168386,703.846290964992
75107,1230.00347899864,811.670959677001
75107,1105.00285000192,664.922305433215
75107,1437.5040957404,955.560460210743
75107,2415.0058364521,1361.67879698268
75107,0.0,0.0
75107,0.0,0.0
75107,0.0,0.0
75107,1542.00435049812,1014.99694551255
75107,1050.50275731668,643.298290397665
75107,660.001760128761,410.648450854128
75107,1030.50257676148,601.173693857109
75107,0.0,0.0
75107,43.5001864512799,43.5001864512799
75107,0.0,0.0
75107,2282.50658706979,1536.80234483671
75107,1160.0038528794,898.899554571125
75107,984.003383818709,789.464919878593
75107,1181.50384243677,896.463226449228
75107,1365.0039694367,926.09306182295
75107,1170.28993251822,885.481709345449
75107,7.00003000365424,7.00003000365424
75107,1609.00526694334,1228.80903439752
75107,1224.70389883094,909.620319119495
75107,1540.00407986927,951.857632753443
75107,2443.00704539396,1643.73208489971
75107,2727.50755689385,1763.06803233529
75107,1218.00344509734,803.761586218654
75107,1268.80360617285,841.341455515455
75107,1117.5032304843,753.691095396561
75107,1377.00336367132,784.764414292761
75107,2364.00693630362,1618.28066073149
75107,1157.00344095432,802.794996306296
75107,0.0,0.0
75107,0.0,0.0
75108,1101.99650149159,453.626801421958
75108,976.497644691245,305.396201153978
75108,711.764955242911,237.3961061804
75108,297.372216716685,132.143482545095
75108,433.430958216906,177.623566365318
75108,10.6373339547675,5.31864646787098
75108,0.0,0.0
75108,0.0,0.0
75108,1440.49225008715,1004.87629820575
75108,2431.48624731622,1783.21308108236
75108,1002.82422162877,394.094951462561
75108,1503.99358596689,831.662236223943
75108,1332.99480050072,674.182237929888
75108,346.615031909198,208.792515922031
75108,163.729275555939,90.1111412080023
75108,259.989581916035,140.871596385139
75108,594.676020241393,401.899011587862
75108,633.145976837642,258.748788837153
75108,1075.49408536707,766.9085529003
75108,976.494568425785,704.273751020922
75108,272.685114141961,203.120956262251
75108,239.421574643373,184.331221106465
75108,1370.99295699559,913.216488613652
75108,1209.9934211899,853.027701676265
75108,955.994484488192,715.157344161278
75108,1413.99143733819,1110.25969903742
75108,1736.48960754959,1347.51542379917
75108,1686.48933481961,1382.87838916286
75108,1359.99165441537,1082.11283852439
75108,395.097362203158,323.231519469377
75108,871.13005957084,440.152906484765
75108,591.952608582827,394.94633813306
75109,1170.68261800645,869.367766699031
75109,1194.5023037831,874.547787211801
75109,1363.50272818547,1035.65677375145
75109,1451.00292331864,1109.73201178381
75109,1348.50293769595,1115.1898360333
75109,1529.50313488193,1190.04434830203
75109,2216.00454655942,1725.93656489279
75109,1466.50296779813,1126.61703856081
75109,1359.50284515455,1080.0598474337
75109,1097.50229522367,871.298509321112
75109,462.243228072267,298.798023070677
75109,96.4402173296195,74.8892870472445
75109,0.0,0.0
75109,1002.26190915058,631.392200234574
75109,78.2230234704348,52.5403110786795
75109,287.504458820435,215.760640327591
75109,48.7282886080017,35.7262330732658
75109,731.639055931594,617.503070672812
75109,749.253121568363,577.949897816018
75109,512.380229614936,361.129378645092
75109,1979.0041399071,1571.56574267827
75109,1397.656588167,1100.74418813887
75109,2681.5056485774,2144.27776343021
75109,1158.00246766326,936.758955458296
75109,1461.50324272724,1230.98391203062
75109,2053.00432847984,1643.15055227182
75109,1200.50225607726,856.437994278171
75109,1392.00292279832,1109.53449174404
75109,1593.50324017456,1230.01488331064
75109,1360.50291914848,1108.14896094262
75109,1615.0032600974,1237.5778643726
75109,1776.5036448364,1383.63008717426
75109,1455.00297397212,1128.96076784328
75109,1642.00340848828,1293.90908546615
75110,1540.50374585418,1111.89159241425
75110,1408.50314193953,932.630044187657
75110,1738.00409395165,1215.21826502307
75110,1811.50426867155,1267.08082534002
75110,1638.00395864907,1175.05605053512
75110,1605.00392838179,1166.07173656493
75110,1404.50375778371,1115.4326653964
75110,1175.00286871246,851.527346506532
75110,1642.50384240556,1140.55119010754
75110,0.0,0.0
75110,0.0,0.0
75110,650.382028565796,332.602763899635
75110,1333.50321369378,953.929045115622
75110,1239.50280939742,833.920708752741
75110,2184.50506753922,1504.21078467401
75110,2119.00514109148,1526.04349206456
75110,1492.79131134165,1152.69839610316
75110,2506.00597978432,1774.99485893887
75110,1462.50374491851,1111.61385551347
75110,1546.00403668702,1198.22025648248
75110,1081.00275893709,818.942438695547
75110,1464.00380601473,1129.74920543043
75110,1445.50363577539,1079.21662000431
75110,1708.0041117786,1220.50988599033
75110,1371.00338680053,1005.31276825688
75110,2270.00544119473,1615.12391802425
75110,1560.79589679725,1178.82058176943
75110,1737.10376863948,1303.02307977495
75110,0.0,0.0
75110,1712.00441620974,1310.87496955321
75110,1798.00502847607,1492.61556825379
75110,2025.00549473422,1631.01618225772
75110,1140.50295613776,877.478024736138
75110,1323.50341083484,1012.44693400229
75110,1976.50497957503,1478.10014657699
75110,2028.50528604074,1569.06915705002
75110,2369.19699135778,1780.27391919006
75110,1757.00430531782,1277.95863445594
75110,1063.50292665121,868.725455160272
75110,1561.00397439468,1179.72986046962
75110,71.5369991011744,60.9389555746878
75110,0.0,0.0
75111,1763.00438337514,1439.14071279597
75111,1930.00469283696,1540.74258049141
75111,1249.00294686853,967.509817436664
75111,1113.00297897542,978.051084011417
75111,1401.50355253104,1166.35968598253
75111,1881.50428378692,1406.44411219088
75111,1971.50483632382,1587.8518915596
75111,1602.50418031537,1372.47254594037
75111,2234.50538511428,1768.02964736003
75111,1114.00276935479,909.228868845816
75111,887.502284291169,749.973779801274
75111,1176.00304410435,999.434081814614
75111,998.002427677706,797.050152854566
75111,1226.00292629114,960.753891460507
75111,1436.50367719245,1207.28826372304
75111,1352.00331744557,1089.17690797123
75111,1333.50349642734,1147.93983418656
75111,1852.00459703332,1509.28852664627
75111,2068.0049125934,1612.89256445161
75111,1227.50319856908,1050.14762325549
75111,2126.50518801294,1703.31774243913
75111,1561.50372772196,1223.87800879624
75111,1487.50376906279,1237.45094566624
75111,1849.50443775354,1456.99411759259
75111,2168.50526618725,1728.98376902644
75111,1429.00350823238,1151.81564215932
75111,1205.00297992453,978.362695355354
75111,1597.00381626136,1252.94708404915
75111,1242.50335136201,1100.31228269919
75111,1177.50301869707,991.092414734332
75111,2645.00687070398,2255.77540434087
75111,1038.50275948075,905.987045064503
75111,1288.50321679458,1056.13138131301
75111,2447.00613162076,2013.12111891292
75111,2314.00557372641,1829.95439513623
75111,1645.5043621085,1432.15849450049
75111,1048.50257630724,845.847895469603
75111,1229.0026724929,877.427373565298
75111,1464.00342412081,1124.20030219694
75111,1515.50322071115,1057.41726178121
