code_commune,nom_standard,population,latitude_centre,longitude_centre
77150,Cuisy,466,49.02,2.778
77151,Dagny,281,48.714,3.165
77152,Dammarie-les-Lys,22845,48.514,2.628
77153,Dammartin-en-Goële,11272,49.054,2.679
77154,Dammartin-sur-Tigeaux,1249,48.808,2.903
77155,Dampmart,3586,48.894,2.746
77156,Darvault,907,48.277,2.728
77157,Dhuisy,323,49.036,3.164
77158,Diant,197,48.291,3.005
77159,Donnemarie-Dontilly,2747,48.478,3.118
77161,Dormelles,790,48.313,2.889
77162,Doue,1108,48.874,3.169
77163,Douy-la-Ramée,381,49.062,2.884
77164,Échouboulains,558,48.464,2.93
77165,Les Écrennes,610,48.496,2.876
77167,Égligny,316,48.44,3.124
77168,Égreville,2143,48.182,2.884
77169,Émerainville,7601,48.82,2.609
77171,Esbly,6402,48.901,2.812
77172,Esmans,888,48.343,2.969
77173,Étrépilly,822,49.042,2.93
77174,Everly,570,48.46,3.264
77175,Évry-Grégy-sur-Yerre,3150,48.654,2.64
77176,Faremoutiers,3013,48.778,3.0
77177,Favières,1239,48.78,2.768
77178,Faÿ-lès-Nemours,498,48.228,2.664
77179,Féricy,600,48.465,2.804
77180,Férolles-Attilly,1255,48.734,2.639
77181,Ferrières-en-Brie,3841,48.82,2.708
77182,La Ferté-Gaucher,4820,48.788,3.304
77183,La Ferté-sous-Jouarre,9714,48.954,3.128
77184,Flagy,602,48.31,2.917
77185,Fleury-en-Bière,656,48.445,2.54
77186,Fontainebleau,15945,48.407,2.68
77187,Fontaine-Fourches,580,48.412,3.394
77188,Fontaine-le-Port,1003,48.484,2.767
77190,Fontains,266,48.522,3.007
77191,Fontenailles,1070,48.532,2.927
77192,Fontenay-Trésigny,5757,48.698,2.862
77193,Forfry,239,49.054,2.85
77194,Forges,421,48.422,2.949
77195,Fouju,607,48.587,2.765
77196,Fresnes-sur-Marne,956,48.942,2.74
77197,Frétoy,172,48.706,3.203
77198,Fromont,236,48.254,2.508
77199,Fublaines,1391,48.939,2.941
77200,Garentreville,122,48.234,2.56
77201,Gastins,703,48.627,3.02
77202,La Genevraye,814,48.315,2.753
77203,Germigny-l'Évêque,1345,48.986,2.958
77204,Germigny-sous-Coulombs,205,49.064,3.161
77205,Gesvres-le-Chapitre,146,49.036,2.843
77206,Giremoutiers,187,48.853,3.033
77207,Gironville,157,48.163,2.533
77208,Gouaix,1335,48.476,3.297
77209,Gouvernes,1178,48.858,2.695
77210,La Grande-Paroisse,2873,48.392,2.898
77211,Grandpuits-Bailly-Carrois,1014,48.582,2.976
77212,Gravon,161,48.388,3.125
77214,Gressy,800,48.965,2.664
77215,Gretz-Armainvilliers,8556,48.75,2.726
77216,Grez-sur-Loing,1436,48.307,2.677
77217,Grisy-Suisnes,2749,48.684,2.676
77218,Grisy-sur-Seine,107,48.439,3.318
77219,Guérard,2655,48.819,2.952
77220,Guercheville,264,48.26,2.558
77221,Guermantes,1148,48.851,2.712
77222,Guignes,4414,48.636,2.8
77223,Gurcy-le-Châtel,564,48.484,3.081
77224,Hautefeuille,254,48.766,2.964
77225,La Haute-Maison,336,48.884,3.006
77226,Héricy,2511,48.442,2.789
77227,Hermé,622,48.486,3.346
77228,Hondevilliers,259,48.904,3.312
77229,La Houssaye-en-Brie,1675,48.756,2.868
77230,Ichy,159,48.206,2.542
77231,Isles-les-Meldeuses,799,48.998,3.012
77232,Isles-lès-Villenoy,1140,48.917,2.831
77233,Iverny,603,48.996,2.791
77234,Jablines,683,48.914,2.757
77235,Jaignes,318,48.987,3.075
77236,Jaulnes,345,48.414,3.276
77237,Jossigny,641,48.831,2.763
77238,Jouarre,4304,48.902,3.113
77239,Jouy-le-Châtel,1526,48.664,3.135
77240,Jouy-sur-Morin,2212,48.796,3.272
77241,Juilly,2020,49.022,2.706
77242,Jutigny,537,48.494,3.227
77243,Lagny-sur-Marne,21191,48.873,2.71
77244,Larchant,713,48.283,2.599
77245,Laval-en-Brie,395,48.455,2.976
77246,Léchelle,579,48.572,3.389
77247,Lescherolles,435,48.761,3.35
77248,Lesches,772,48.915,2.793
77249,Lésigny,7102,48.75,2.616
77250,Leudon-en-Brie,165,48.73,3.268
77251,Lieusaint,13808,48.626,2.55
77252,Limoges-Fourches,573,48.627,2.67
77253,Lissy,330,48.618,2.702
77254,Liverdy-en-Brie,1306,48.696,2.78
77255,Livry-sur-Seine,2215,48.505,2.686
77256,Lizines,183,48.528,3.165
77257,Lizy-sur-Ourcq,3519,49.035,3.019
77258,Lognes,14650,48.833,2.634
77259,Longperrier,2669,49.051,2.655
77260,Longueville,1800,48.514,3.238
77261,Lorrez-le-Bocage-Préaux,1213,48.24,2.896
77262,Louan-Villegruis-Fontaine,493,48.615,3.489
77263,Luisetaines,230,48.461,3.186
77264,Lumigny-Nesles-Ormeaux,1497,48.72,2.954
77265,Luzancy,1070,48.978,3.181
77266,Machault,786,48.446,2.841
77267,La Madeleine-sur-Loing,350,48.205,2.702
77268,Magny-le-Hongre,9064,48.867,2.814
77269,Maincy,1833,48.554,2.706
77270,Maisoncelles-en-Brie,958,48.859,2.994
77271,Maisoncelles-en-Gâtinais,137,48.183,2.621
77272,Maison-Rouge,858,48.555,3.151
77273,Marchémoret,604,49.053,2.752
77274,Marcilly,459,49.037,2.88
