code_commune,nom_standard,population,latitude_centre,longitude_centre,p22_log,p22_rp,logements,residences,ratio_collectif,densite,tension_parking,score,pression_urbaine,logement_par_habitant,indice_urbain,departement
77001,Achères-la-Forêt,1154,48.348,2.565,620.256978483174,494.57148316815,620.256978483174,494.57148316815,0.7973654474273142,1154,1.8605191719439964,462.3973653858114,920.1597263311206,0.5374843834342928,920.1597263311206,77
77002,Amillis,811,48.736,3.135,403.628641942774,326.341630135326,403.628641942774,326.341630135326,0.8085195058620105,811,2.0092726722673526,325.2453376534388,655.7093192540905,0.49769253013905546,655.7093192540905,77
77003,Amponville,346,48.287,2.531,191.0,152.0,191.0,152.0,0.7958115183246073,346,1.8115183246073299,139.1821989528796,275.35078534031413,0.5520231213872833,275.35078534031413,77
77004,Andrezel,311,48.615,2.807,143.0,131.0,143.0,131.0,0.916083916083916,311,2.174825174825175,125.32727272727274,284.90209790209786,0.45980707395498394,284.90209790209786,77
77005,Annet-sur-Marne,3317,48.922,2.708,1399.0,1303.0,1399.0,1303.0,0.9313795568263045,3317,2.3709792709077915,1327.7907076483204,3089.385989992852,0.4217666566174254,3089.385989992852,77
77006,Arbonne-la-Forêt,992,48.41,2.561,468.347037039027,391.946897321196,468.347037039027,391.946897321196,0.8368728022689196,992,2.118087489720443,397.68648808759684,830.1778198507682,0.4721240292732127,830.1778198507682,77
77007,Argentières,354,48.652,2.871,158.959063204878,142.561502229268,158.959063204878,142.561502229268,0.8968441267518316,354,2.226988463965336,142.53714977721515,317.4828208701484,0.44903690170869487,317.4828208701484,77
77008,Armentières-en-Brie,1205,48.981,3.016,416.884683725947,367.650793511149,416.884683725947,367.650793511149,0.8819004580001227,1205,2.8904875785557684,483.13171641096676,1062.690051890148,0.34596239313356597,1062.690051890148,77
77009,Arville,135,48.181,2.557,71.0,56.0,71.0,56.0,0.7887323943661971,135,1.9014084507042253,54.807042253521125,106.47887323943661,0.5259259259259259,106.47887323943661,77
77010,Aubepierre-Ozouer-le-Repos,946,48.62,2.903,395.307360865391,362.582616360062,395.307360865391,362.582616360062,0.917216961420376,946,2.3930745886670435,379.3930874650262,867.6872455036757,0.4178724744877283,867.6872455036757,77
77011,Aufferville,483,48.205,2.601,252.585059340908,209.946276070946,252.585059340908,209.946276070946,0.831190398271287,483,1.9122271177097077,194.0230252547943,401.4649623650316,0.5229504334180289,401.4649623650316,77
77012,Augers-en-Brie,285,48.667,3.352,130.930207047854,106.764705882353,130.930207047854,106.764705882353,0.8154321931479976,285,2.1767322180727526,114.89764932336622,232.39817504717934,0.45940423525562807,232.39817504717934,77
77013,Aulnoy,361,48.849,3.089,175.18770220853,145.013283603879,175.18770220853,145.013283603879,0.8277594932506523,361,2.060646925834402,145.26652192572553,298.8211770634855,0.48528449365243764,298.8211770634855,77
77014,Avon,13660,48.413,2.734,1051.49367963022,836.842267370916,1051.49367963022,836.842267370916,0.7958604826471324,13660,12.991043374415554,5468.136071157119,10871.454192959829,0.07697611124672181,10871.454192959829,77
77014,Avon,13660,48.413,2.734,2293.48496434372,1990.78109835781,2293.48496434372,1990.78109835781,0.8680157617372788,13660,5.956001548895615,5466.04720519319,11857.095305331228,0.16789787440290777,11857.095305331228,77
77014,Avon,13660,48.413,2.734,1693.98877840429,1485.78420610371,1693.98877840429,1485.78420610371,0.8770921183452552,13660,8.06380784462309,5466.68226998889,11981.078336596187,0.12401089153764935,11981.078336596187,77
77014,Avon,13660,48.413,2.734,1577.48939594107,1404.0198641508,1577.48939594107,1404.0198641508,0.8900344229022316,13660,8.659329206996643,5466.86480908897,12157.870216844483,0.11548238623287481,12157.870216844483,77
77014,Avon,13660,48.413,2.734,1331.99126210254,1156.93261341419,1331.99126210254,1156.93261341419,0.8685737259176752,13660,10.255322529997512,5467.337168876775,11864.717096035443,0.09751034129593998,11864.717096035443,77
77015,Baby,106,48.389,3.345,53.0,46.0,53.0,46.0,0.8679245283018868,106,2.0,43.26037735849057,92.0,0.5,92.0,77
77016,Bagneaux-sur-Loing,1595,48.223,2.708,785.027738639379,721.028343929998,785.027738639379,721.028343929998,0.9184749894057175,1595,2.0317753392567712,638.8850750985987,1464.9676081021194,0.4921804004008646,1464.9676081021194,77
77018,Bailly-Romainvilliers,7169,48.843,2.817,4463.0,2770.0,4463.0,2770.0,0.6206587497199193,7169,1.6063186197624917,2868.268093210845,4449.502576742101,0.6225414981168922,4449.502576742101,77
77019,Balloy,343,48.397,3.151,177.476247791823,140.517138266126,177.476247791823,140.517138266126,0.7917517978572013,343,1.9326529846536642,138.01732143475328,271.57086666502005,0.5174234629499213,271.57086666502005,77
77020,Bannost-Villegagnon,648,48.675,3.192,295.037445026035,247.911359099487,295.037445026035,247.911359099487,0.8402708309706605,648,2.1963313841157297,260.1109806645259,544.495498468988,0.4553046991142516,544.495498468988,77
77021,Barbey,153,48.366,3.05,85.0849714648066,63.5789473684211,85.0849714648066,63.5789473684211,0.7472406263275182,153,1.7982024012699453,61.963632908279244,114.32781582811029,0.5561109246065791,114.32781582811029,77
77022,Barbizon,1241,48.448,2.6,838.106200862254,620.631068587124,838.106200862254,620.631068587124,0.7405160204620979,1241,1.4807192677052667,497.06637058645026,918.9803813934634,0.6753474624192216,918.9803813934634,77
77023,Barcy,362,49.017,2.877,140.257940033695,135.532282606545,140.257940033695,135.532282606545,0.9663073803449935,362,2.5809590523932875,145.8641799298215,349.80327168488765,0.3874528730212569,349.80327168488765,77
77024,Bassevelle,395,48.923,3.282,168.799200093578,150.65658485124,168.799200093578,150.65658485124,0.8925195425554139,395,2.340058482392227,158.9697734074843,352.5452193093885,0.4273397470723494,352.5452193093885,77
77025,Bazoches-lès-Bray,875,48.398,3.193,457.796626286748,369.317856012263,457.796626286748,369.317856012263,0.8067290906179266,875,1.9113290700659953,350.81541744820515,705.8879542906858,0.523196144327712,705.8879542906858,77
77026,Beauchery-Saint-Martin,364,48.602,3.421,174.019083078994,145.019083078994,174.019083078994,145.019083078994,0.8333516101401605,364,2.0917246175510895,146.47752286830737,303.33998609101843,0.4780744040631703,303.33998609101843,77
77027,Beaumont-du-Gâtinais,1155,48.141,2.492,574.0,452.0,574.0,452.0,0.7874564459930313,1155,2.0121951219512195,462.8398954703833,909.5121951219512,0.49696969696969695,909.5121951219512,77
77029,Beauvoir,183,48.642,2.864,105.42718446602,83.0,105.42718446602,83.0,0.7872732295791466,183,1.7357951929275162,73.956920526752,144.07100101298383,0.5761048331476503,144.07100101298383,77
77030,Bellot,774,48.842,3.324,390.99692872107,308.237542979362,390.99692872107,308.237542979362,0.7883375043062115,774,1.9795551912177738,310.43036780865725,610.1732283330077,0.5051639905956976,610.1732283330077,77
77031,Bernay-Vilbert,961,48.675,2.93,417.898007085103,368.484465680622,417.898007085103,368.484465680622,0.8817569345469068,961,2.2996041706518517,385.3544083315597,847.3684140995775,0.434857447539129,847.3684140995775,77
77032,Beton-Bazoches,935,48.707,3.246,444.315631696821,372.646808024442,444.315631696821,372.646808024442,0.8386983969060934,935,2.10435990385771,374.88291749022915,784.1830011071974,0.475203884167723,784.1830011071974,77
77033,Bezalles,228,48.667,3.24,85.0860215053764,77.4193548387098,85.0860215053764,77.4193548387098,0.9098951093137883,228,2.6796410969291022,92.27686086187288,207.45608492354373,0.3731843048481421,207.45608492354373,77
77034,Blandy,775,48.56,2.795,382.334237024997,320.046356651999,382.334237024997,320.046356651999,0.8370852663950009,775,2.0270222359116916,310.859232250692,648.7410814561257,0.4933344993870929,648.7410814561257,77
77035,Blennes,546,48.245,3.012,309.956123843863,231.62338443205,309.956123843863,231.62338443205,0.7472779745714194,546,1.7615396438337239,219.15264528552154,408.013774115995,0.5676852085052436,408.013774115995,77
77036,Boisdon,134,48.676,3.226,60.751879699248,50.751879699248,60.751879699248,50.751879699248,0.83539603960396,134,2.205693069306935,54.51232673267327,111.94306930693064,0.45337223656155223,111.94306930693064,77
